sentence,start_time,end_time,label,certainty_score,sentiment_score
We also continue to see momentum in Emerging Markets.,169.9,173.0,positive,0.9982873797416687,0.9982873797416687
"Setting all-time Revenue records in a number of markets including Latin America, the middle east, and south, Asia, among others.",173.0,181.5,positive,0.998153030872345,0.998153030872345
"And services, we achieved an all-time Revenue record.",182.9,186.1,positive,0.9981212019920349,0.9981212019920349
"And in the past year, we've seen nearly 100 billion dollars in revenue from our services business.",186.1,191.9,positive,0.9976683259010315,0.9976683259010315
"I'm also pleased to announce that we reached a new record for our installed base, with over 2.3 5 billion active devices in October.",192.8,202.3,positive,0.9981957077980042,0.9981957077980042
"We released the first set of Apple intelligence features in US, English for iPhone iPad and mac and we rolled out more features and expanded to more countries in Ember, now users can discover the benefits of these new features in the things they do every day.",202.3,219.5,positive,0.9980319142341614,0.9980319142341614
"They can use writing tools to help, find just the right words, create fun and unique images with image playground engine, Mogi handle daily tasks can seek out information with a more natural and conversational.",220.2,233.7,neutral,0.9973045587539673,0.0
Siri create movies of their memories with a simple prompt and touch up their photos with cleanup.,233.7,240.2,neutral,0.9982802867889404,0.0
We introduced visual intelligence with camera control to help users instantly learn about their surroundings.,241.7,247.6,positive,0.997154951095581,0.997154951095581
"Users can also seamlessly access chat GPT across iOS, iPad OS and Mac OS and we were excited to recently, begin our International expansion with apple intelligence.",248.2,260.7,positive,0.9975677132606506,0.9975677132606506
"Now available in Australia, Canada, New Zealand, South Africa.",260.7,265.1,positive,0.9936338663101196,0.9936338663101196
And the UK.,265.1,266.0,neutral,0.9986225366592407,0.0
We're working hard to take apple intelligence even further.,266.6,270.4,positive,0.9982261061668396,0.9982261061668396
"Either in April were bringing Apple intelligence to more languages including French German Italian Portuguese, Spanish Japanese Korean, and simplified Chinese as well as localized English to Singapore in India and will continue to roll out more features in the future including an even more capable.",270.5,290.9,positive,0.9981563687324524,0.9981563687324524
Siri Apple intelligence bills on years of Innovations.,290.9,295.3,positive,0.8728004097938538,0.8728004097938538
We've made across hardware and software to transform how users experience our It's Apple intelligence also empowers users by delivering personal context that's relevant to them.,295.3,307.7,positive,0.9974453449249268,0.9974453449249268
"And importantly, Apple intelligence is a breakthrough for privacy and AI with Innovations like private Cloud compute, which extends the industry-leading security and privacy of Apple devices into the cloud.",307.7,321.0,positive,0.9981905817985535,0.9981905817985535
Apple intelligence opens up an exciting New Frontier and is already elevating experiences across iPhone iPad and Mac we're going to keep investing in Innovation and in transformative tools that help users in their everyday lives.,322.3,337.2,positive,0.9982911944389343,0.9982911944389343
Let me now turn to our results for the quarter.,338.9,341.2,neutral,0.9995676875114441,0.0
"Starting with iPhone iPhone Revenue, came in at 69 point 1 billion dollars, reaching all-time iPhone Revenue records in dozens of markets and regions our iPhone.",341.4,354.1,positive,0.9980952143669128,0.9980952143669128
16 lineup takes the smartphone experience to the next level in so many ways.,354.1,358.6,positive,0.9973440766334534,0.9973440766334534
"And apple intelligence is one of many reasons why customers are excited with the a 18 powered, iPhone, 16 and iPhone 16, plus Others are getting a big boost in battery life and incredible camera experiences with camera control are amazingly powerful.",358.6,376.9,positive,0.9977509379386902,0.9977509379386902
IPhone 16 Pro Models.,376.9,378.4,neutral,0.9875133633613586,0.0
Go even further with larger than ever displays and a pro camera system.,378.4,383.8,positive,0.9973090887069702,0.9973090887069702
So Advanced it can turn moments into masterpieces in Mac.,383.8,388.9,positive,0.9760076403617859,0.9760076403617859
Revenue was nine billion dollars for the December quarter 16% higher year-over-year driven by significant excitement around.,388.9,398.0,positive,0.9982001781463623,0.9982001781463623
The World for our latest Mac line up the Mac is more than just a powerful tool.,398.0,403.6,neutral,0.9988184571266174,0.0
It's a launch pad to enable users to bring their best ideas and boldest Creations to life.,403.6,409.9,neutral,0.9991900324821472,0.0
"And there are so many reasons to choose Mac from the breathtaking, performance of the M4, family of chips, to the groundbreaking, and growing capabilities of Apple intelligence every product in the Mac lineup offers something extraordinary.",409.9,425.8,neutral,0.7282560467720032,0.0
"Whether that's the super portable Mac Book, Air the PowerHouse MacBook Pro, the world's best, all in one, I Mac or the small wonder, that is the Mac Mini which is not only stunningly capable, but as our first carbon-neutral Mac, all of this is enabled by the unparalleled power of Apple, silicon IPad Revenue was 8.1 billion dollars up 15 percent from a year ago driven by strong interest for our latest products.",426.5,458.2,positive,0.9982165694236755,0.9982165694236755
We love hearing from customers who are discovering for the first time.,458.2,462.8,positive,0.9683946371078491,0.9683946371078491
"The versatility of iPad from the ultraportable iPad Mini built from the ground up for Apple intelligence to the powerful M4, iPad Pro in a stunningly thin, and light design.",462.8,475.5,neutral,0.8924601078033447,0.0
IPad is there for our users.,475.5,478.7,neutral,0.9991675615310669,0.0
Were they need it?,479.1,479.9,neutral,0.9962039589881897,0.0
"And wherever they go and we are pleased to see so much excitement and enthusiasm for our lineup, wearables home and accessories.",479.9,488.1,positive,0.9982783794403076,0.9982783794403076
"Revenue came in at eleven point seven billion dollars with its most advanced display yet and a thinner more comfortable design, the all-new Apple Watch series 10 is the perfect companion to help users.",488.1,501.9,positive,0.9979799389839172,0.9979799389839172
Pursue their health and fitness goals this year from the powerful vitals app to more.,501.9,508.5,positive,0.988330602645874,0.988330602645874
"Double activity, Rings users have an ever-increasing set of innovative Health tools at their fingertips and watchos US.",509.1,517.0,positive,0.9964775443077087,0.9964775443077087
11.,517.0,517.4,neutral,0.9937105178833008,0.0
Health innovation has long been a focus for us and we're committed to continuing to advance this work because we know how much it matters to our users.,518.5,527.2,positive,0.9982209801673889,0.9982209801673889
"We've introduced new hearing Health features on airpods, Pro 2 and new sleep apnea notifications on Apple.",527.5,535.3,positive,0.9979518055915833,0.9979518055915833
Watch are also helping users learn of a potentially serious condition that's thought to affect up to a billion people worldwide during the quarter.,535.3,545.9,neutral,0.9730480313301086,0.0
"We also brought Apple Vision Pro tvos To even more countries enabling more customers to discover, the magic of spatial.",545.9,553.5,positive,0.9981491565704346,0.9981491565704346
"Computing users are enjoying incredible, immersive, entertainment experiences and Powerful new features and enhancements to Mac virtual display Vision.",553.5,565.9,positive,0.9982258677482605,0.9982258677482605
"Pro is also super charging the creative process and the incredibly talented director Jon M Chu recently, shared how extraordinary capabilities helped him bring the movie.",565.9,578.1,positive,0.9978188276290894,0.9978188276290894
Good to life.,578.5,579.4,positive,0.9977797865867615,0.9977797865867615
"turning to Services we set an all-time Revenue record of 26 point three billion dollars for the December quarter growing 14 percent from a year ago we said all-time records in the Americas Europe and rest of Asia Pacific and a December quarter record in And five years since launch Apple TV plus continues to be home to incredible storytelling, that viewers love.",581.0,607.7,positive,0.9982650876045227,0.9982650876045227
There's nothing quite like the anticipation that comes when a fan favorite returns and we were thrilled to debut the second season of severance earlier this month.,607.7,617.7,positive,0.9891179203987122,0.9891179203987122
"We have so much in store for our subscribers this year with new shows, like the studio and your friends and neighbors.",619.0,625.9,positive,0.9975613355636597,0.9975613355636597
And we can't wait for the premiere of Formula 1.,626.7,629.3,positive,0.9854087233543396,0.9854087233543396
Starring Brad Pitt on June 27th which will take viewers inside the sport in a truly unprecedented way.,629.6,637.1,positive,0.9617978930473328,0.9617978930473328
We're excited that Apple TV plus continues to draw attention and accolades today.,638.4,644.1,positive,0.9983709454536438,0.9983709454536438
"Apple TV plus Productions, have earned more than 2,500 ins and 538 winds during the quarter.",644.1,653.7,positive,0.9957246780395508,0.9957246780395508
We were all so excited to launch a new find my service that can help our users when they lose their luggage.,653.9,660.1,positive,0.9981189370155334,0.9981189370155334
For the first time.,660.7,661.8,negative,0.9872057437896729,-0.9872057437896729
"If you put an air tag in your suitcase, you'll be able to share its location information, with many major airlines so they can quickly track down your bags if they get lost.",662.0,672.3,positive,0.974514365196228,0.974514365196228
"Turning to retail, our teams went above and beyond to help customers find the perfect gift throughout the holiday season.",673.3,680.8,positive,0.9981458187103271,0.9981458187103271
"We also celebrated openings of new stores and China, Spain, and the us and we were excited to announce plans to connect with even more customers this year, by adding a fifth store in the UAE.",681.9,696.3,positive,0.998282790184021,0.998282790184021
And bringing our online store to Saudi Arabia this summer.,696.5,700.3,positive,0.9978918433189392,0.9978918433189392
We can't wait to welcome customers to the first of several flagship store locations in Saudi Arabia that were opening beginning in 2026.,700.8,710.1,positive,0.9970466494560242,0.9970466494560242
I just had the chance to visit both countries last month and I had a great time meeting with customers and team members.,711.0,718.1,positive,0.9896354079246521,0.9896354079246521
There's an incredible energy and passion for technology in these growing markets.,718.8,723.7,positive,0.997687578201294,0.997687578201294
Every day.,724.4,725.3,neutral,0.9940745234489441,0.0
I get deeply moving notes about the many ways.,725.6,728.5,neutral,0.9955216646194458,0.0
"Our technology is enriching, our users lives.",728.5,731.5,positive,0.9981531500816345,0.9981531500816345
"I recently got a note from a customer who put his watch on his father's wrist when he feared, something was wrong with him.",732.3,739.6,negative,0.811630129814148,-0.811630129814148
The watchos loaded them.,739.9,741.6,neutral,0.9948111772537231,0.0
That the father was an afib and they were able to get him to the hospital for potentially life-saving treatment.,741.6,748.1,positive,0.9805877804756165,0.9805877804756165
Another user put his new watch on for the first time and within 15 minutes was notified of a low heart rate that led to a necessary Pacemaker.,749.4,759.0,negative,0.9781500697135925,-0.9781500697135925
"And there are so many touching notes around the profound impact of our new hearing Health feature, like a recent user, who told me it had changed her life, allowing her to take part in conversations with their children and grandchildren.",759.7,774.7,positive,0.9882914423942566,0.9882914423942566
"These are the kind of stories that remind us of how profoundly important our work is, and it drives us to innovate each and every day.",775.7,784.2,neutral,0.999333918094635,0.0
At Apple.,786.0,786.4,neutral,0.9933213591575623,0.0
The future is full of promise and potential.,786.4,789.5,positive,0.9980556964874268,0.9980556964874268
We're always searching across a world of possibilities finding those places where we can do the most good and putting all of our energy and Ingenuity into making something special with that.,789.9,802.8,positive,0.9966610670089722,0.9966610670089722
I'll turn it over to Kevin.,802.8,804.5,neutral,0.9995172023773193,0.0
Thanks Tim and good afternoon everyone.,804.5,808.1,neutral,0.9994025230407715,0.0
I'm going to cover the results for the first quarter of our fiscal year.,808.1,811.5,neutral,0.9996101260185242,0.0
We are very pleased to report an all-time high for Revenue.,811.5,815.4,positive,0.9982325434684753,0.9982325434684753
"But December quarter revenue of 120, 4.3 billion dollars up four percent year.",815.8,821.0,positive,0.9979546070098877,0.9979546070098877
"Over year, we achieved all time Revenue, records in the Americas Europe, Japan, and rest of Asia Pacific and grew in the vast.",821.0,829.7,positive,0.9981227517127991,0.9981227517127991
"Majority of markets, we track.",829.7,831.0,neutral,0.9988963603973389,0.0
"Products Revenue was 98 billion dollars up to percent year over year driven by growth from iPad Mac, thanks to our incredible, customer satisfaction and strong loyalty are installed base of active devices, reached an all-time high across all products and Geographic segments, and is now over two point three five billion active devices.",832.0,852.5,positive,0.9982326030731201,0.9982326030731201
"Services Revenue reached, an all-time record of twenty six point three billion dollars up, fourteen percent year over year, we grew in every Geographic segments and achieved all-time records in both developed and Emerging Markets.",853.9,868.5,positive,0.9981884360313416,0.9981884360313416
Company gross margin was 46.9% at the high end of our guidance range and up 70 basis.,869.7,877.0,positive,0.9980534315109253,0.9980534315109253
Point sequentially primarily driven by favorable mix Products gross margin was 39.3% up.,877.0,885.2,positive,0.9981392621994019,0.9981392621994019
"300 basis, points sequentially, primarily driven by favorable, mix and leverage Services, gross margin would 75% up 100 basis points sequentially, primarily driven by mix Operating expenses of fifteen point four billion dollars landed at the midpoint of our guidance range and up 7% year-over-year.",885.2,908.8,positive,0.9979787468910217,0.9979787468910217
This strong business performance resulted in all-time records for both net income at thirty.,910.0,914.8,positive,0.9982122182846069,0.9982122182846069
Six point three billion dollars in diluted earnings per share of two dollars and forty cents up ten percent year-over-year.,914.8,921.6,positive,0.9980727434158325,0.9980727434158325
Operating cash flow is also strong at twenty nine point nine billion dollars which included the impact of the eleven point.,922.4,929.0,positive,0.9982197880744934,0.9982197880744934
Nine billion dollars.,929.0,929.8,neutral,0.998736560344696,0.0
We paid during the quarter in connection with the state aid decision.,929.8,933.0,neutral,0.979741096496582,0.0
"Now, I'm going to provide some more details for each of our Revenue categories.",934.1,937.7,neutral,0.9996398687362671,0.0
"IPhone Revenue was 69 point, 1 billion dollars, roughly flat to the prior year.",937.7,943.3,negative,0.8640431761741638,-0.8640431761741638
"We grew in the majority of markets, we track and reached all-time Revenue, records in several developed markets, including Canada, Western Europe and Japan.",943.3,952.3,positive,0.9980483055114746,0.9980483055114746
"In an Emerging Markets, like Latin America, the middle east, and south Asia.",952.3,957.0,neutral,0.9991762042045593,0.0
The iPhone active installed base.,958.2,959.5,neutral,0.9994683861732483,0.0
Grew to an all-time high in total in an every Geographic segments.,959.5,963.6,positive,0.9981186985969543,0.9981186985969543
We also set an all-time record for up graders.,963.6,966.8,positive,0.9981651902198792,0.9981651902198792
"According to a recent survey from cantar during the December quarter, iPhone was a top selling model in the u.s. urban China.",968.2,975.3,positive,0.9972764849662781,0.9972764849662781
"India the UK France, Australia and Japan.",975.3,979.8,neutral,0.9989508390426636,0.0
We continue to see high levels of customer satisfaction in the u.s. at 96% as measured by 451 research.,979.8,987.6,positive,0.9982530474662781,0.9982530474662781
Mac generated nine billion dollars in Revenue up 16 percent year over year.,988.8,994.0,positive,0.9981878399848938,0.9981878399848938
We saw strength across our lineup from the new Mac Mini to the latest MacBook Air and MacBook Pro Models.,994.0,1000.3,positive,0.9982503056526184,0.9982503056526184
"This incredible performance was broad-based with double-digit growth in every Geographic segments, With their latest advances in apple silicon and our fastest neural Legend, ever customers are able to take advantage of the full capabilities of AI and Mac.",1000.3,1015.9,positive,0.9982900023460388,0.9982900023460388
The Mac installed base reached an all-time high and we saw double digit growth for both upgraders and customers new to the Mac.,1015.9,1024.4,positive,0.9982457160949707,0.9982457160949707
"Additionally, customer satisfaction in the US was recently measured in 94% iPad revenue is 8.1 billion dollars up.",1026.1,1034.6,positive,0.9981497526168823,0.9981497526168823
15% year-over-year driven by the new iPad mini and latest iPad Air.,1034.6,1039.4,positive,0.9975123405456543,0.9975123405456543
"The iPad installed base reached, another all-time high and over half of the customers who purchased in iPad during the quarter, were new to the product.",1039.4,1047.8,positive,0.998065173625946,0.998065173625946
"Customer satisfaction with a 96 percent in the US based on the latest reports from 451 research, wearables home and accessories Revenue was eleven point seven billion dollars down two percent.",1048.4,1059.6,negative,0.9988597631454468,-0.9988597631454468
Year-over-year customers are excited about the new airpods for and the latest hearing Health features and airpods Pro 2.,1059.6,1066.8,positive,0.9982256293296814,0.9982256293296814
And watch although we Face a difficult compared against a watchos to launch.,1066.8,1071.4,negative,0.998080849647522,-0.998080849647522
Last year.,1071.4,1071.9,neutral,0.9926578402519226,0.0
"The Apple watch installed base reached a new all-time high with over half of customers purchasing and Apple watch during In the quarter, being new to the product customer satisfaction for washing.",1071.9,1082.7,positive,0.9981386661529541,0.9981386661529541
The US was reported at 94% our services Revenue reached an all-time high of 26 point three billion dollars up.,1082.7,1090.1,positive,0.9980716109275818,0.9980716109275818
Fourteen percent year-over-year Services continues to see strong momentum and the growth of our installed base of active devices.,1090.1,1096.9,positive,0.9982753992080688,0.9982753992080688
Gives us great opportunities for the future.,1096.9,1098.8,positive,0.9983550906181335,0.9983550906181335
"We also see increased customer engagement with our services, offerings, both transacting and paid accounts reached new all-time highs with paid accounts growing double digits year-over-year.",1098.8,1109.8,positive,0.9982442855834961,0.9982442855834961
"Paid subscriptions, also, grew double digits.",1110.8,1112.8,positive,0.9982157945632935,0.9982157945632935
We have well over a billion paid subscriptions across the services on our platform.,1113.2,1117.5,positive,0.7923519611358643,0.7923519611358643
"We remain focused on improving the breath and quality of our services offerings from new games and apple arcade to exciting, new programming on Fitness Plus and the continued expansion of features like tap to pay.",1118.5,1128.5,positive,0.998282790184021,0.998282790184021
Now live in 20 markets.,1128.5,1130.7,neutral,0.6384884715080261,0.0
"Turning to Enterprise, we have seen businesses continue to expand their deployments of our products and services, Deutsche Bank launched its Mac as Choice program.",1130.7,1139.8,positive,0.9982536435127258,0.9982536435127258
"For the developers and also issued, the latest MacBook Air as a standard computer for their entire mortgage lending Division.",1140.0,1146.9,neutral,0.9990341663360596,0.0
And we're excited to see leading under prizes such as sap.,1146.9,1150.3,positive,0.9982343912124634,0.9982343912124634
Leverage Apple intelligence in the US with features like writing tools summarize and priority notifications to enhance both their employee and customer experiences.,1150.3,1159.3,positive,0.9975456595420837,0.9975456595420837
We also see strong demand in our emerging markets.,1159.3,1162.8,positive,0.9983158111572266,0.9983158111572266
"For example is a motto, a leading food, ordering and delivery company in.",1162.8,1166.6,neutral,0.9995492100715637,0.0
India has deployed thousands of Max across their Workforce to Foster innovation in Vision Pro continue to see more use cases in Enterprise.,1166.6,1174.5,positive,0.9982434511184692,0.9982434511184692
"Was Cisco's new spatial meetings, delivering a fully immersive video, conferencing experience for remote collaboration and learning.",1174.5,1181.8,positive,0.9948010444641113,0.9948010444641113
Let me quickly summarize our cash position and capital return program.,1183.5,1186.9,neutral,0.9995617270469666,0.0
We ended the quarter with 141 billion dollars in cash and marketable securities.,1186.9,1192.0,neutral,0.9992684721946716,0.0
"We repaid, 1 billion dollars in maturing debt, and decrease commercial paper by eight billion dollars.",1192.0,1197.8,positive,0.9963326454162598,0.9963326454162598
Resulting in 97 billion.,1197.8,1199.8,neutral,0.9994305968284607,0.0
"Dollars in total debt, therefore net cash.",1200.0,1203.1,neutral,0.9993269443511963,0.0
At the end of the quarter was forty five billion dollars.,1203.1,1206.0,neutral,0.9994848966598511,0.0
"During the quarter, we returned over 30 billion dollars of shareholders.",1207.0,1210.7,positive,0.9982352256774902,0.9982352256774902
This included 3.9 billion dollars in dividends and equivalents and twenty-three point three billion dollars through open market.,1211.9,1218.0,neutral,0.9995545744895935,0.0
Repurchases of 100 million Apple.,1218.0,1220.1,neutral,0.9828638434410095,0.0
"Shares as usual, we will provide an update to our Capital return program.",1220.1,1224.9,neutral,0.9990757703781128,0.0
"When we report results for the March quarter, as we move ahead into the March quarter, I'd like to review our Outlook which includes a types of forward-looking information that you hasni referred to at the beginning of the call.",1224.9,1236.8,neutral,0.9996581077575684,0.0
The color we're providing today assumes of the Mac.,1238.4,1240.6,neutral,0.9995494484901428,0.0
You cannot make Outlook doesn't worsen from what we're projecting today for the current quarter.,1240.6,1244.4,negative,0.6396523714065552,-0.6396523714065552
"As a dollar strengthened significantly, we expect foreign exchange to be a headwind and to have a negative impact on revenue of about two and a half percentage points on a year-over-year basis.",1245.6,1256.4,negative,0.9988051652908325,-0.9988051652908325
"Despite that headwind, we expect our March quarter total company Revenue to grow low-to-mid single digits.",1256.6,1264.4,positive,0.9942489862442017,0.9942489862442017
"Year over year, we expect Services Revenue to grow low, double digits year over year, when you remove the negative impact of the foreign exchange headwinds, I described earlier the year-over-year growth rate would be Comparable to that of the December quarter.",1264.4,1277.6,negative,0.9962190985679626,-0.9962190985679626
We expect gross margin to be between 46.5% and 47.5%.,1278.6,1283.1,neutral,0.978435754776001,0.0
"We expect operating expenses to be between 15 Point, 1 billion dollars and fifteen point three billion dollars.",1283.1,1289.8,neutral,0.9994271993637085,0.0
"We expect, oh, I any to be around - 300 million dollars, excluding any potential impact from the mark-to-market of minority Investments and our tax rate to be around 16% finally.",1291.4,1304.2,neutral,0.9969140291213989,0.0
"Today, our board of directors has declared a cash dividend of 25 cents per share of common stock payable on February 13th, 2025 to shareholders of record as a February 10th.",1304.4,1316.2,neutral,0.9991827607154846,0.0
2025 with that.,1316.3,1318.8,neutral,0.998778760433197,0.0
Let's open to call the questions.,1318.9,1320.2,neutral,0.9985009431838989,0.0
Thank you.,1321.2,1321.5,neutral,0.9991152882575989,0.0
Kevin.,1321.5,1322.1,neutral,0.9989572763442993,0.0
We ask that you limit yourself to two questions.,1322.4,1325.3,neutral,0.9991768002510071,0.0
"Operator, may we have the first question, please?",1325.6,1328.3,neutral,0.9994651675224304,0.0
"Certainly, we will go ahead and take our first question from Eric would ring with Morgan Stanley.",1330.0,1335.0,neutral,0.9995624423027039,0.0
Please go ahead and drink.,1335.1,1337.5,neutral,0.9976964592933655,0.0
I stink so much for for taking my questions.,1337.5,1340.3,negative,0.9969620108604431,-0.9969620108604431
"Tim in in your prepared remarks, you had noted that iPhone 6 in models are selling better in markets where Apple intelligence is available and I'm just wondering if you could double click on that comment a bit and share any other details you believe could, you know, better help us understand how Apple intelligence is really impacting.",1340.9,1359.5,positive,0.9943928718566895,0.9943928718566895
I On demand and or what features you find.,1359.5,1363.2,neutral,0.999355137348175,0.0
That users are using most often already and then I just have a quick follow-up.,1363.2,1367.3,neutral,0.9996039271354675,0.0
Thank you.,1367.3,1367.8,neutral,0.9991152882575989,0.0
Yeah.,1369.5,1369.8,neutral,0.9958522319793701,0.0
Eric.,1369.8,1370.2,neutral,0.9982169270515442,0.0
Hi.,1370.2,1370.4,neutral,0.9964386224746704,0.0
It's Tim the we did see that the markets were we had rolled out.,1370.4,1376.4,neutral,0.9980477094650269,0.0
Apple intelligence that the year-over-year performance on the iPhone.,1376.4,1380.4,neutral,0.8561009764671326,0.0
16 family was stronger than those.,1380.4,1382.4,positive,0.9979562759399414,0.9979562759399414
Where Apple intelligence was not available in terms of the features that people are using their.,1382.4,1390.0,negative,0.9076282382011414,-0.9076282382011414
"Using all of the ones that I referenced, in my opening comments from writing tools to image playground engine Moji.",1390.0,1397.6,neutral,0.9995459914207458,0.0
To visual intelligence and and more.,1399.2,1402.5,neutral,0.9991574287414551,0.0
"And so we see all of those being used to clean up is another one that is, that is popular and people love seeing that when demoed in the stores as well we only had two two and a half weeks or so during the December quarter of the second release of 7:42.",1402.8,1428.5,positive,0.9957771301269531,0.9957771301269531
And then only had the UK and the other English language countries for the further two and a half weeks.,1429.2,1439.0,neutral,0.9995217323303223,0.0
"And so we've got, you know, just the early indications at the moment.",1439.0,1445.7,neutral,0.9992637038230896,0.0
But we were forgotten that's really helpful.,1447.2,1448.7,negative,0.9920721650123596,-0.9920721650123596
Yeah silence.,1448.9,1450.5,neutral,0.9967644214630127,0.0
"Okay, thank you for that color.",1452.3,1454.1,neutral,0.9991843104362488,0.0
"Tim, it's helpful.",1454.1,1454.8,neutral,0.9992489218711853,0.0
"And then you know if we just touch on on China, obviously in the news fairly frequently, if we, if we set aside China Mac row, which I understand is still challenging can you maybe talk about the headwinds that that Apple faces?",1455.2,1469.1,negative,0.9983406066894531,-0.9983406066894531
"Whether that's, you know, shifting preferences for Western technology brands in favor of domestic vendors or is this just a function of not necessarily having Apple intelligence available with the iPhone 16 which is you know not necessarily helping replacement Cycles just just maybe double-clicking on on what you think.",1469.1,1487.5,neutral,0.8907578587532043,0.0
What you think.,1487.5,1488.6,neutral,0.9989226460456848,0.0
And what you're hearing in China is a regard as it relates to the iPhone.,1488.6,1491.9,neutral,0.9995730519294739,0.0
Thanks so much.,1491.9,1492.4,neutral,0.9984402060508728,0.0
"Yeah, sure.",1492.8,1493.5,neutral,0.9972810745239258,0.0
"If you look at our greater China revenue for the quarter, we were down 11% Year over year and over half of the decline that we experienced was driven by changing Channel, inventory from the beginning to the end of the corridor.",1493.5,1512.6,negative,0.9986609220504761,-0.9986609220504761
"And of course, on the Apple intelligence side, we have not rolled out in China.",1512.6,1519.7,neutral,0.8511765599250793,0.0
"And as we just talked about, we did see better results in the markets that we had rolled out in and markets.",1519.7,1528.0,positive,0.9982384443283081,0.9982384443283081
We hadn't rolled out in and Of course it's the most competitive market in the world and so all of those things are true.,1528.0,1534.7,negative,0.9960221648216248,-0.9960221648216248
"In terms of the macro situation, there was a fiscal stimulus or subsidy announced in very recently and in January that did not affect the December quarter, there were some provincial subsidies in the December quarter but the Program was announced.",1534.7,1563.0,neutral,0.9994264841079712,0.0
I believe on January 20th and it does cover the categories that we have products in from smartphones to tablets and PCs and and smart watches up to a certain maximum price point.,1563.0,1582.1,neutral,0.9995805621147156,0.0
And so we do see fiscal stimulus occurring and will be glad to talk about what that looks like.,1582.3,1590.0,positive,0.9977521300315857,0.9977521300315857
On the next call.,1590.1,1591.3,neutral,0.9994571805000305,0.0
Great.,1593.4,1593.7,positive,0.9974786639213562,0.9974786639213562
"Thanks so much, Tim.",1593.7,1594.3,neutral,0.9993689656257629,0.0
Good luck.,1594.3,1594.8,neutral,0.9974274039268494,0.0
Thank you.,1595.1,1595.7,neutral,0.9991152882575989,0.0
"Thank you, Eric operator.",1596.3,1597.8,neutral,0.999357283115387,0.0
"Can we have the next question, please?",1597.8,1599.6,neutral,0.9995216131210327,0.0
"Our next question is from Ben Wright sees with malleus, please go ahead.",1602.3,1606.3,neutral,0.9995242357254028,0.0
"Hey guys, thanks a lot for the question and hey, Tim wanted to ask you who you knew this one was coming.",1607.3,1614.1,neutral,0.9990612864494324,0.0
But there's there's a perception that you're a big beneficiary of lower cost of compute.,1614.1,1622.0,positive,0.8246155381202698,0.8246155381202698
"And I was wondering if you could give your worldly perspective here on the Deep seek situation and if you are Going to, if you have any things happen to change your views in terms of a Tailwind to margins and your ability to execute even due to the potential for cost to come down due to that development and and probably what was going to happen.",1622.0,1645.5,positive,0.7960723638534546,0.7960723638534546
Anyway.,1645.5,1646.0,neutral,0.9964983463287354,0.0
But love your perspective on that and then I have a quick follow-up.,1646.3,1649.1,neutral,0.9989591836929321,0.0
